sensorId,createdAt,value,lat,lon
602d0601a79cbd001bdc5613,2023-02-28T01:23:17.541Z,3.36,47.506496,19.075401
6079416140d969001b223803,2023-02-28T01:23:09.893Z,0.31,47.541081,19.082268
6373ce7d1de963001bf57c88,2023-02-28T01:23:07.499Z,-0.28,47.602859,19.002431
6012ae1a571de9001bf0de7a,2023-02-28T01:23:01.366Z,0.74,47.477996,19.035062
5e56763a37f639001bd14bb4,2023-02-28T01:22:55.876Z,0.53,47.45692,19.016782
63c8632ad37b36000733227b,2023-02-28T01:22:53.523Z,14.42,47.516104,19.056701
615a2bcd7ea3fe001c5d77ab,2023-02-28T01:22:53.459Z,-0.12,47.5026,18.9403
615a29387ea3fe001c5c6730,2023-02-28T01:22:53.431Z,-0.40,47.50262,18.94011
60d71dd18855dd001c7c5351,2023-02-28T01:22:43.773Z,0.13,47.417303,19.080649
5f4a2ed8327264001be939e6,2023-02-28T01:22:43.656Z,4.15,47.418744,19.015003
63f358354fbabe00074ecba3,2023-02-28T01:22:41.640Z,0.88,47.47018,19.078783
61fba00568c6fb001b8c5329,2023-02-28T01:22:32.817Z,3.36,47.504416,19.074067
6040d2f38ad04a001bcb356f,2023-02-28T01:22:32.341Z,0.97,47.473679,19.056018
632accb7b6658f001be047ad,2023-02-28T01:22:29.421Z,3.73,47.47023,19.166389
63f358354fbabe00074ecba3,2023-02-28T01:22:28.574Z,0.90,47.47018,19.078783
5fee0624576ab7001ccf57c5,2023-02-28T01:22:24.865Z,0.65,47.522679,19.106484
6391e43f698b50001ce301f2,2023-02-28T01:22:24.063Z,9.20,47.50145,19.148263
6040ca7d8ad04a001bc6fd49,2023-02-28T01:22:19.119Z,1.57,47.463627,19.014867
63f358354fbabe00074ecba3,2023-02-28T01:22:15.113Z,0.90,47.47018,19.078783
61a12255d85cc7001bf7fdab,2023-02-28T01:22:13.211Z,1.13,47.530403,19.281569
6238444bbe6329001c8e4f58,2023-02-28T01:22:10.198Z,3.28,47.486088,19.064243
601ceca9e443a0001bcc937c,2023-02-28T01:22:07.491Z,3.57,47.361997,18.929267
5e3f35876a0f2d001bd440a0,2023-02-28T01:22:06.318Z,1.30,47.383982,19.218063
63f358354fbabe00074ecba3,2023-02-28T01:22:02.501Z,0.89,47.47018,19.078783
5f15a1e8e8f87e001c7e0eaf,2023-02-28T01:21:54.533Z,-0.82,47.447888,19.181061
615a2bcd7ea3fe001c5d77ab,2023-02-28T01:21:50.711Z,-0.17,47.5026,18.9403
615a29387ea3fe001c5c6730,2023-02-28T01:21:50.423Z,-0.41,47.50262,18.94011
63f358354fbabe00074ecba3,2023-02-28T01:21:47.861Z,0.90,47.47018,19.078783
6080401160979a001b0310fe,2023-02-28T01:21:44.116Z,0.66,47.456662,19.159684
62388344be6329001cac4c6f,2023-02-28T01:21:42.271Z,1.64,47.479541,19.078817
618ebe57e30ca5001b8f335d,2023-02-28T01:21:40.509Z,-0.85,47.406479,19.187427
63f358354fbabe00074ecba3,2023-02-28T01:21:35.201Z,0.91,47.47018,19.078783
60c4dad1e650df001cc4978c,2023-02-28T01:21:32.410Z,-1.19,47.599754,19.241991
61cf17231b17b1001b17e00d,2023-02-28T01:21:31.174Z,0.83,47.593879,19.117039
6355a4eddb73ef001b7c4217,2023-02-28T01:21:27.819Z,1.65,47.538966,19.087112
6391c79670c7ae001b0e1988,2023-02-28T01:21:26.231Z,1.43,47.479865,19.078794
